,0
0,0.142461761832
1,0.119764991105
2,0.1089611426
3,0.112638242543
4,0.104644522071
5,0.104134343565
6,0.115494817495
7,0.0917756855488
8,0.102772369981
9,0.103368937969
10,0.102947190404
11,0.0977216586471
12,0.088194668293
13,0.0978744998574
14,0.0933859199286
15,0.104609377682
16,0.110661186278
17,0.133960008621
18,0.129561305046
19,0.121987245977
20,0.129757538438
21,0.137418270111
22,0.138980507851
23,0.102642096579
24,0.131828203797
25,0.137377798557
26,0.117904931307
27,0.0979652181268
28,0.117927834392
29,0.10103995353
30,0.1074135378
31,0.0894703269005
32,0.0974203273654
33,0.103483743966
34,0.100826494396
35,0.104713499546
36,0.101810596883
37,0.111441105604
38,0.0984664857388
39,0.109817929566
40,0.105761192739
41,0.12535880506
42,0.144196182489
43,0.119126029313
44,0.130783364177
45,0.142683550715
46,0.134833842516
47,0.137398615479
48,0.137746557593
49,0.118071742356
50,0.106777176261
51,0.109497383237
52,0.108237572014
53,0.106336936355
54,0.0926756411791
55,0.0930023640394
56,0.0988125354052
57,0.101817131042
58,0.095737054944
59,0.0931934416294
60,0.0895307511091
61,0.110721707344
62,0.107621476054
63,0.110640019178
64,0.115028589964
65,0.102894708514
66,0.127529382706
67,0.126939728856
68,0.111816771328
69,0.125473067164
70,0.132842853665
71,0.131176143885
72,0.119250126183
73,0.123639754951
74,0.127577289939
75,0.112652949989
76,0.0844371840358
77,0.0765715241432
78,0.0975116714835
79,0.0875050723553
80,0.0961061343551
81,0.1000905931
82,0.0924127846956
83,0.0841879099607
84,0.0987014323473
85,0.0996553227305
86,0.118917368352
87,0.124830201268
88,0.103430435061
89,0.111629396677
90,0.128279536963
91,0.122308447957
92,0.145906373858
93,0.134165555239
94,0.119365863502
95,0.13663713634
96,0.146759599447
97,0.110466845334
98,0.12828540802
99,0.104530587792
100,0.122000575066
101,0.114671580493
102,0.0726403221488
103,0.0911681428552
104,0.0935559794307
105,0.0958841741085
106,0.0894115865231
107,0.085130430758
108,0.0876132696867
109,0.105768665671
110,0.108648143709
111,0.114213615656
112,0.116207055748
113,0.12575520575
114,0.128400579095
115,0.139825254679
116,0.124498866498
117,0.12885427475
118,0.113610975444
119,0.131100550294
120,0.146703004837
121,0.118843264878
122,0.111706756055
123,0.115711390972
124,0.125669062138
125,0.107927285135
126,0.082249507308
127,0.097378179431
128,0.100830093026
129,0.109603062272
130,0.0973125621676
131,0.101107649505
132,0.0994898527861
133,0.0829070433974
134,0.100650012493
135,0.115339115262
136,0.112065941095
137,0.123841688037
138,0.130230695009
139,0.128548398614
140,0.127525359392
141,0.147326096892
142,0.132121011615
143,0.136410102248
144,0.122373104095
145,0.126160904765
146,0.119565084577
147,0.116121388972
148,0.0935221835971
149,0.106090456247
150,0.0980336666107
151,0.0927382484078
152,0.105213269591
153,0.107801243663
154,0.108867071569
155,0.0885030776262
156,0.106148667634
157,0.107365712523
158,0.0959718748927
159,0.104334965348
160,0.110660664737
161,0.124891504645
162,0.128475010395
163,0.13733702898
164,0.121618770063
165,0.113097645342
166,0.125067561865
167,0.112697444856
168,0.14096032083
169,0.124163508415
170,0.110693238676
171,0.106691457331
172,0.117251336575
173,0.118644036353
174,0.0962020233274
175,0.0979550182819
176,0.112671017647
177,0.113922037184
178,0.108079843223
179,0.0866364389658
180,0.0993661209941
181,0.112810447812
182,0.0898243933916
183,0.121861845255
184,0.114911146462
185,0.116916187108
186,0.128307983279
187,0.144294649363
188,0.122611403465
189,0.138524189591
190,0.134988129139
191,0.130081579089
192,0.130897641182
193,0.131057024002
194,0.11498811096
195,0.127291247249
196,0.113943308592
197,0.11577193439
198,0.0942933559418
199,0.0903514325619
200,0.102941825986
201,0.107454620302
202,0.099734030664
203,0.100019179285
204,0.108767278492
205,0.100214086473
206,0.101105570793
207,0.117563001812
208,0.118479982018
209,0.123506620526
210,0.135905921459
211,0.130992084742
212,0.144897252321
213,0.137034550309
214,0.14367441833
215,0.146233454347
216,0.14075820148
217,0.140561565757
218,0.103185482323
219,0.112453274429
220,0.0960095524788
221,0.115790046751
222,0.119093440473
223,0.0994054153562
224,0.101108089089
225,0.113184474409
226,0.0953475832939
227,0.0914479121566
228,0.088530831039
229,0.104831501842
230,0.100218772888
231,0.114337936044
232,0.112441599369
233,0.129414618015
234,0.121559038758
235,0.124256305397
236,0.150051787496
237,0.14511230588
238,0.140776187181
239,0.139684051275
240,0.145457699895
241,0.125043541193
242,0.121536299586
243,0.0973378866911
